ttIdent;Name;Node Type
1;Fictions;œuvre
2;La Conscience de Zeno;œuvre
3;Michael Kohlhaas;œuvre
4;Le Procès;œuvre
5;Schönberg Arnold;auteur
6;Clouard Henri;auteur
7;Balzac Honoré;auteur
8;Dostoïevski Fedor;auteur
9;Faulkner William;auteur
10;Kafka Franz;auteur
11;Beckett Samuel;auteur
12;Sartre Jean-Paul;auteur
13;Ehrenburg Ilya;auteur
14;Jdanov Andreï;auteur
15;Barthes Roland;auteur
16;Mauriac François;auteur
17;Rousseaux André;auteur
18;Musset (de) Alphonse;auteur
19;Hugo Victor;auteur
20;Pascal Blaise;auteur
21;Paulhan Jean;auteur
22;Roussel Raymond;auteur
23;Joyce James;auteur
24;Bousquet Joë;auteur
25;Sade (de) Donatien Alphonse François;auteur
26;Proust Marcel;auteur
27;Breton André;auteur
28;Heidegger Martin;auteur
29;Pinget Robert;auteur
30;Robbe-Grillet Alain;auteur
31;Simon Claude;auteur
32;Flaubert Gustave;auteur
33;Claudel Paul;auteur
34;Camus Albert;auteur
35;Zola Émile;auteur
36;caratères;concept
37;La Nausée;œuvre
38;L'Étranger;œuvre
39;Voyage au bout de la nuit;œuvre
40;Le Père Goriot;œuvre
41;Qu'est-ce que la littérature;œuvre
42;L'Ère du soupçon;œuvre
43;Le Vallon;œuvre
44;Situations I;œuvre
45;Le Parti pris des choses;œuvre
46;Le Sentiment tragique de la vie;œuvre
47;Le Chateau des Pyrénées;œuvre
48;Locus Solus;œuvre
49;Les Frères Karamazov;œuvre
50;Moby Dick;œuvre
51;Molloy;œuvre
52;Le Meneur de lune;œuvre
53;Murphy;œuvre
54;Malone meurt;œuvre
55;L'Innomable;œuvre
56;En attendant Godot;œuvre
57;[Oh les beaux jours!];œuvre
58;Mahu ou le matériaux;œuvre
59;Le Renard et la Boussole;œuvre
60;L’Ingénieux Hidalgo Don Quichotte de la Manche;œuvre
61;La Chartreuse de Parme;œuvre
62;Le Médecin de campagne;œuvre
63;L'Immortelle;œuvre
64;L'Année dernière à Marienbad;œuvre
65;La Jalousie;œuvre
66;Le Voyeur;œuvre
67;Le Chiendent;œuvre
68;Loin de Rueil;œuvre
69;Journal;œuvre
70;Le Château;œuvre
71;école du regard;concept
72;Roman objectif;concept
73;le cœur romantique de choses;concept
74;être là [dasein];concept
75;Balzac [selon Barthes];concept
76;bon sens;concept
77;Tragédie;concept
78;effet de réel;concept
79;critiques de Les Gommes;articles
80;critiques de Le Voyeur;articles
81;éloges dans la presse;articles
82;éloges dans les revues;articles
83;réactions aux articles dans l'express;articles
84;reproche des révolutionnaires les plus zélés;articles
85;un de nos plus célèbres dictionnaires encyclopédiques;œuvre
86;réalisme socialiste;courant artistique
87;jeune écrivan d'aujourd'hui;auteur
88;la plupart de nos romanciers contemporains;entité collective
89;les plus sérieux essayistes;entité collective
90;quelques esprits engagés dans des recherches comparables;entité collective
91;certains matérialistes;entité collective
92;on [les critiques];entité collective
93;dessin satirique russe;œuvre
94;roman noir;genre
95;École de minuit;concept
96;[antonomase];concept
97;littérature de laboratoire;concept
98;Russie et ses républiques [URSS];concept
99;humanisme;concept
100;valeurs de la chrétienté;concept
101;fées des contes;concept
102;la Nature;concept
103;Œdipe (mythe);concept
104;[république moderne];concept
105;[romantisme];courant artistique
106;[altérité];concept
107;objet;concept
108;surréalisme;courant littéraire
109;réactions à L'Immortelle;articles
110;interprétations de L'Année dernière à Marienbad;articles
111;classiques;courant artistique
112;naturalisme;courant artistique
113;les engagés;entité collective
114;la critique soviétique;entité collective
115;la critique bourgeoise;entité collective
116;la critique académique;entité collective
117;critiques de La Jalousie;articles
118;rationalisme des siècles passés;concept
119;les prétendus descendants de Kafka;entité collective
120;art décadent;concept
121;extrême droite;entité collective
122;extrême gauche;entité collective
123;concours Lépine;institution
124;Académie Française;institution
