Node Type;Name;fpDate;fpSrcTitle;fpSrcNature;fpSrcType;fpSrcNum;fpPageBegining;fpPageEnd
fp;Samuel Beckett, Auteur dramatique;1953/02;Critique;revue;specialisée;69;108;114
fp;Joë Bousquet le rêveur;1953/10;Critique;revue;specialisée;77;819;829
fp;Un roman qui s'invente lui-même;1954/01;Critique;revue;specialisée;80;82;88
fp;La conscience malade de Zeno;1954/07;Nouvelle Revue Française;revue;specialisée;19;138;141
fp;Une voie pour le roman future;1956/07;Nouvelle Revue Française;revue;specialisée;43;77;84
fp;Écrire pour son temps;1957/10/10;France Observateur;magazine;généraliste;387;17;17
fp;"Il n'y a pas ""d'avant-garde""";1957/10/17;France Observateur;magazine;généraliste;388;19;19
fp;La mort du personnage;1957/10/24;France Observateur;magazine;généraliste;389;20;20
fp;Un joli talent de conteur;1957/10/31;France Observateur;magazine;généraliste;390;19;19
fp;La forme et le contenu;1957/11/14;France Observateur;magazine;généraliste;392;19;19
fp;Nature, Humanisme, Tragédie;1958/10;Nouvelle Revue Française;revue;specialisée;70;580;603
fp;Nouveau roman, homme nouveau;1961/09;Revue de Paris;revue;specialisée;68;115;121
fp;Samuel Beckett ou la présence sur la scène;1963/02;Critique;revue;specialisée;69;108;114
fp;Comment mesurer l'inventeur des mesures ?;1963/06/20;L'Express;quotidien;généraliste;627;44;45
fp;La littérature, aujourd'hui - VI;1963 été;Tel Quel;revue;specialisée;14;39;45
fp;Énigmes et transparences chez Raymond Roussel;1963/12;Critique;revue;specialisée;199;1027;1033
fp;Réalisme et révolution;1955/01/03;L'Express;quotidien;généraliste;NULL;15;15
fp;Il écrit comme Stendhal;1955/10/25;L'Express;quotidien;généraliste;NULL;8;8
fp;Littérature engagée, littérature réactionnaire;1955/12/20;L'Express;quotidien;généraliste;NULL;11;11
fp;Le réalisme socialiste est bourgeois;1956/02/21;L'Express;quotidien;généraliste;NULL;11;11
fp;Monsieur personne répond... Pour un « nouveau roman »;1963/12/05-11;Le Figaro Littéraire;quotidien;généraliste;NULL;1;26
fp;Pour un réalisme de la présence;1956/01/17;L'Express;quotidien;généraliste;NULL;11;11
